Time		Case1		Case2		Case3		Case4
253		145519.2841899027		146448.36863385176		144442.22665554847		144442.22665554847
254		147525.4262259829		148454.51066993194		144442.22665554847		144442.22665554847
255		149465.20508749527		150460.6527060121		150460.65276619632		150460.65276619632
256		151471.34712357546		152466.79474209232		150460.65276619632		150460.65276619632
257		153477.48915965564		154472.93677817247		150460.65276619632		150460.65276619632
258		155483.63119573583		156479.0788142527		156479.07887684417		156479.07887684417
259		157489.773231816		158485.22085033287		156479.07887684417		156479.07887684417
260		159429.55209332838		160491.36288641306		156479.07887684417		156479.07887684417
261		161435.69412940857		162497.50492249324		162497.50498749202		162497.50498749202
262		163441.83616548876		164503.64695857343		162497.50498749202		162497.50498749202
263		165447.97820156894		166509.78899465362		162497.50498749202		162497.50498749202
264		167454.12023764913		168515.9310307338		168515.93109813987		168515.93109813987
265		169393.8990991615		170522.073066814		168515.93109813987		168515.93109813987
266		171400.04113524168		172528.21510289417		168515.93109813987		168515.93109813987
267		173406.18317132187		174534.35713897433		174534.3572087877		174534.3572087877
268		175412.32520740203		176540.49917505455		174534.3572087877		174534.3572087877
269		177418.46724348224		178546.64121113473		174534.3572087877		174534.3572087877
270		179358.2461049946		180552.7832472149		180552.78331943558		180552.78331943558
271		181364.3881410748		182558.9252832951		180552.78331943558		180552.78331943558
272		183370.530177155		184565.0673193753		180552.78331943558		180552.78331943558
273		185376.67221323514		186571.20935545547		186571.20943008343		186571.20943008343
274		187382.81424931536		188577.35139153566		186571.20943008343		186571.20943008343
275		189322.59311082773		190583.49342761585		186571.20943008343		186571.20943008343
276		191328.73514690791		192589.635463696		192589.63554073128		192589.63554073128
277		193334.8771829881		194595.77749977622		192589.63554073128		192589.63554073128
278		195341.0192190683		196601.9195358564		192589.63554073128		192589.63554073128
279		197347.16125514847		198608.0615719366		198608.06165137913		198608.06165137913
280		199286.94011666084		200614.20360801675		198608.06165137913		198608.06165137913
281		201293.08215274103		202620.34564409696		198608.06165137913		198608.06165137913
282		203299.22418882122		204626.48768017712		204626.48776202698		204626.48776202698
283		205305.3662249014		206632.6297162573		204626.48776202698		204626.48776202698
284		207311.5082609816		208638.77175233752		204626.48776202698		204626.48776202698
285		209251.28712249396		210644.91378841767		210644.9138726748		210644.9138726748
286		211257.42915857414		212651.0558244979		210644.9138726748		210644.9138726748
287		213263.57119465433		214657.19786057808		210644.9138726748		210644.9138726748
288		215269.71323073452		216663.33989665826		216663.3399833227		216663.3399833227
289		217275.85526681467		218669.48193273845		216663.3399833227		216663.3399833227
290		219215.63412832704		220675.62396881863		216663.3399833227		216663.3399833227
291		221221.77616440726		222681.76600489882		222681.7660939705		222681.7660939705
292		223227.91820048742		224687.908040979		222681.7660939705		222681.7660939705
293		225234.06023656763		226694.05007705916		222681.7660939705		222681.7660939705
294		227240.20227264782		228700.19211313935		228700.19220461836		228700.19220461836
295		229179.9811341602		230706.33414921953		228700.19220461836		228700.19220461836
296		231186.12317024037		232712.47618529975		228700.19220461836		228700.19220461836
297		233192.26520632053		234718.6182213799		234718.61831526624		234718.61831526624
298		235198.40724240072		236724.7602574601		234718.61831526624		234718.61831526624
299		237204.54927848093		238730.9022935403		234718.61831526624		234718.61831526624
300		239144.3281399933		240737.04432962046		240737.0444259141		240737.0444259141
301		242153.54119411358		243746.25738374074		240737.0444259141		240737.0444259141
302		245162.75424823386		246755.47043786105		240737.0444259141		240737.0444259141
303		248171.96730235414		249764.68349198133		249764.68359188587		249764.68359188587
304		251181.1803564744		252773.8965461016		249764.68359188587		249764.68359188587
305		254090.84864874298		255783.10960022188		249764.68359188587		249764.68359188587
306		257100.06170286323		258792.32265434213		258792.32275785765		258792.32275785765
307		260109.27475698353		261801.5357084624		258792.32275785765		258792.32275785765
308		263118.4878111038		264810.74876258266		258792.32275785765		258792.32275785765
309		266127.700865224		267819.96181670285		267819.96192382945		267819.96192382945
310		269037.3691574925		270829.17487082304		267819.96192382945		267819.96192382945
311		272046.58221161267		273838.38792494324		267819.96192382945		267819.96192382945
312		275055.79526573286		276847.6009790634		276847.6010898012		276847.6010898012
313		278065.00831985305		279856.81403318356		276847.6010898012		276847.6010898012
314		281074.22137397324		282866.0270873038		276847.6010898012		276847.6010898012
315		283983.8896662417		285875.240141424		285875.240255773		285875.240255773
316		286993.1027203619		288884.4531955442		285875.240255773		285875.240255773
317		290002.3157744821		291893.6662496644		285875.240255773		285875.240255773
318		293011.5288286023		294902.8793037846		294902.8794217448		294902.8794217448
319		296020.7418827225		297912.09235790477		294902.8794217448		294902.8794217448
320		298930.41017499095		300921.30541202496		294902.8794217448		294902.8794217448
321		301939.62322911114		303930.51846614515		303930.5185877165		303930.5185877165
322		304948.8362832313		306939.73152026534		303930.5185877165		303930.5185877165
323		307958.0493373515		309948.94457438553		303930.5185877165		303930.5185877165
324		310967.26239147165		312958.1576285057		312958.15775368834		312958.15775368834
325		313876.9306837402		315967.3706826259		312958.15775368834		312958.15775368834
326		316886.1437378604		318976.58373674605		312958.15775368834		312958.15775368834
327		319895.35679198056		321985.7967908663		321985.79691966006		321985.79691966006
328		322904.56984610076		324995.0098449865		321985.79691966006		321985.79691966006
329		325913.78290022095		328004.2228991067		321985.79691966006		321985.79691966006
330		328823.4511924894		331013.4359532269		331013.43608563184		331013.43608563184
